"rgn_id","species_name","IUCN"
2,"Abra prismatica","VU"
1,"Abra prismatica","VU"
5,"Abra prismatica","VU"
6,"Abra prismatica","VU"
32,"Agrypnetes crassicornis","DD"
40,"Agrypnetes crassicornis","DD"
38,"Agrypnetes crassicornis","DD"
36,"Agrypnetes crassicornis","DD"
42,"Agrypnetes crassicornis","DD"
3,"Alderia modesta","NT"
31,"Alderia modesta","NT"
28,"Alderia modesta","NT"
34,"Alderia modesta","NT"
32,"Alderia modesta","NT"
37,"Alderia modesta","NT"
2,"Alderia modesta","NT"
8,"Alderia modesta","NT"
36,"Alderia modesta","NT"
38,"Alderia modesta","NT"
10,"Alderia modesta","NT"
1,"Amauropsis islandica","NT"
3,"Amauropsis islandica","NT"
7,"Amauropsis islandica","NT"
2,"Amauropsis islandica","NT"
8,"Amauropsis islandica","NT"
13,"Amauropsis islandica","NT"
1,"Amphipholis squamata","DD"
2,"Amphipholis squamata","DD"
1,"Atelecyclus rotundatus","VU"
2,"Atelecyclus rotundatus","VU"
1,"Boreotrophon truncatus","NT"
3,"Boreotrophon truncatus","NT"
7,"Boreotrophon truncatus","NT"
2,"Boreotrophon truncatus","NT"
8,"Boreotrophon truncatus","NT"
1,"Clelandella miliaris","VU"
2,"Clelandella miliaris","VU"
1,"Cliona celata","VU"
2,"Cliona celata","VU"
16,"Corophium multisetosum","NT"
17,"Corophium multisetosum","NT"
18,"Corophium multisetosum","NT"
23,"Corophium multisetosum","NT"
2,"Corophium multisetosum","NT"
13,"Corophium multisetosum","NT"
3,"Corophium multisetosum","NT"
10,"Corophium multisetosum","NT"
1,"Corystes cassivelaunus","NT"
2,"Corystes cassivelaunus","NT"
5,"Cryptonatica affinis","DD"
6,"Cryptonatica affinis","DD"
3,"Ekmania barthii","DD"
7,"Ekmania barthii","DD"
8,"Ekmania barthii","DD"
4,"Ekmania barthii","DD"
11,"Ekmania barthii","DD"
12,"Ekmania barthii","DD"
9,"Ekmania barthii","DD"
10,"Ekmania barthii","DD"
1,"Ekmania barthii","DD"
2,"Ekmania barthii","DD"
2,"Epitonium clathratulum","DD"
3,"Epitonium clathratulum","DD"
1,"Epitonium clathratulum","DD"
2,"Epitonium clathrus","VU"
1,"Epitonium clathrus","VU"
5,"Epitonium clathrus","VU"
6,"Epitonium clathrus","VU"
1,"Epitonium turtonis","DD"
2,"Epitonium turtonis","DD"
10,"Eurydice pulchra","DD"
13,"Eurydice pulchra","DD"
11,"Eurydice pulchra","DD"
17,"Eurydice pulchra","DD"
21,"Eurydice pulchra","DD"
18,"Eurydice pulchra","DD"
2,"Eurydice pulchra","DD"
8,"Eurydice pulchra","DD"
22,"Eurydice pulchra","DD"
5,"Eurydice pulchra","DD"
6,"Eurydice pulchra","DD"
1,"Euspira pallida","VU"
2,"Euspira pallida","VU"
3,"Euspira pallida","VU"
5,"Euspira pallida","VU"
6,"Euspira pallida","VU"
1,"Gammarellus angulosus","DD"
2,"Gammarellus angulosus","DD"
8,"Gammarellus angulosus","DD"
18,"Gammarellus inaequicauda","DD"
13,"Gammarellus inaequicauda","DD"
16,"Gammarellus inaequicauda","DD"
3,"Gammarellus inaequicauda","DD"
10,"Gammarellus inaequicauda","DD"
17,"Gammarellus inaequicauda","DD"
13,"Deshayesorchestia deshayesii","VU"
2,"Deshayesorchestia deshayesii","VU"
11,"Deshayesorchestia deshayesii","VU"
14,"Deshayesorchestia deshayesii","VU"
3,"Deshayesorchestia deshayesii","VU"
15,"Deshayesorchestia deshayesii","VU"
18,"Deshayesorchestia deshayesii","VU"
10,"Deshayesorchestia deshayesii","VU"
26,"Deshayesorchestia deshayesii","VU"
21,"Deshayesorchestia deshayesii","VU"
5,"Deshayesorchestia deshayesii","VU"
6,"Deshayesorchestia deshayesii","VU"
8,"Deshayesorchestia deshayesii","VU"
5,"Haploops tenuis","EN"
1,"Haploops tenuis","EN"
6,"Haploops tenuis","EN"
2,"Haploops tenuis","EN"
3,"Haploops tenuis","EN"
3,"Haploops tubicola","VU"
2,"Haploops tubicola","VU"
1,"Haploops tubicola","VU"
5,"Haploops tubicola","VU"
6,"Haploops tubicola","VU"
1,"Hippasteria phrygiana","VU"
2,"Hippasteria phrygiana","VU"
1,"Hippolyte varians","VU"
2,"Hippolyte varians","VU"
2,"Inachus dorsettensis","NT"
1,"Inachus dorsettensis","NT"
1,"Inachus phalangium","DD"
2,"Inachus phalangium","DD"
2,"Lekanesphaera rugicauda","DD"
10,"Lekanesphaera rugicauda","DD"
17,"Lekanesphaera rugicauda","DD"
18,"Lekanesphaera rugicauda","DD"
19,"Lekanesphaera rugicauda","DD"
12,"Lekanesphaera rugicauda","DD"
3,"Lekanesphaera rugicauda","DD"
13,"Lekanesphaera rugicauda","DD"
16,"Lekanesphaera rugicauda","DD"
8,"Lekanesphaera rugicauda","DD"
7,"Lekanesphaera rugicauda","DD"
1,"Limnoria lignorum","DD"
3,"Limnoria lignorum","DD"
4,"Limnoria lignorum","DD"
10,"Limnoria lignorum","DD"
2,"Macoma calcarea","VU"
3,"Macoma calcarea","VU"
7,"Macoma calcarea","VU"
8,"Macoma calcarea","VU"
1,"Macoma calcarea","VU"
10,"Macoma calcarea","VU"
9,"Macoma calcarea","VU"
6,"Macoma calcarea","VU"
15,"Macoma calcarea","VU"
17,"Macoma calcarea","VU"
14,"Macoma calcarea","VU"
4,"Macoma calcarea","VU"
5,"Macoma calcarea","VU"
12,"Macoma calcarea","VU"
13,"Macoma calcarea","VU"
11,"Macoma calcarea","VU"
21,"Macoma calcarea","VU"
37,"Macroplea mutica","LC"
39,"Macroplea mutica","LC"
32,"Macroplea mutica","LC"
3,"Macroplea mutica","LC"
9,"Macroplea mutica","LC"
12,"Macroplea mutica","LC"
1,"Macroplea mutica","LC"
11,"Macroplea mutica","LC"
5,"Macroplea mutica","LC"
6,"Macroplea mutica","LC"
26,"Macroplea mutica","LC"
29,"Macroplea mutica","LC"
35,"Macroplea mutica","LC"
20,"Macroplea mutica","LC"
30,"Macroplea mutica","LC"
36,"Macroplea mutica","LC"
31,"Macroplea mutica","LC"
28,"Macroplea mutica","LC"
38,"Macroplea mutica","LC"
42,"Macroplea mutica","LC"
36,"Macroplea pubipennis","DD"
38,"Macroplea pubipennis","DD"
40,"Macroplea pubipennis","DD"
42,"Macroplea pubipennis","DD"
32,"Macroplea pubipennis","DD"
3,"Modiolus modiolus","VU"
2,"Modiolus modiolus","VU"
1,"Modiolus modiolus","VU"
5,"Modiolus modiolus","VU"
6,"Modiolus modiolus","VU"
10,"Modiolus modiolus","VU"
4,"Modiolus modiolus","VU"
8,"Modiolus modiolus","VU"
9,"Modiolus modiolus","VU"
7,"Modiolus modiolus","VU"
12,"Modiolus modiolus","VU"
12,"Monoporeia affinis","LC"
13,"Monoporeia affinis","LC"
11,"Monoporeia affinis","LC"
16,"Monoporeia affinis","LC"
17,"Monoporeia affinis","LC"
14,"Monoporeia affinis","LC"
26,"Monoporeia affinis","LC"
37,"Monoporeia affinis","LC"
29,"Monoporeia affinis","LC"
35,"Monoporeia affinis","LC"
38,"Monoporeia affinis","LC"
20,"Monoporeia affinis","LC"
36,"Monoporeia affinis","LC"
41,"Monoporeia affinis","LC"
40,"Monoporeia affinis","LC"
42,"Monoporeia affinis","LC"
19,"Monoporeia affinis","LC"
22,"Monoporeia affinis","LC"
24,"Monoporeia affinis","LC"
10,"Monoporeia affinis","LC"
15,"Monoporeia affinis","LC"
21,"Monoporeia affinis","LC"
39,"Monoporeia affinis","LC"
18,"Monoporeia affinis","LC"
30,"Monoporeia affinis","LC"
25,"Monoporeia affinis","LC"
31,"Monoporeia affinis","LC"
28,"Monoporeia affinis","LC"
27,"Monoporeia affinis","LC"
34,"Monoporeia affinis","LC"
23,"Monoporeia affinis","LC"
32,"Monoporeia affinis","LC"
33,"Monoporeia affinis","LC"
9,"Monoporeia affinis","LC"
3,"Mya truncata","NT"
7,"Mya truncata","NT"
1,"Mya truncata","NT"
2,"Mya truncata","NT"
8,"Mya truncata","NT"
10,"Mya truncata","NT"
9,"Mya truncata","NT"
5,"Mya truncata","NT"
6,"Mya truncata","NT"
4,"Mya truncata","NT"
12,"Mya truncata","NT"
13,"Mya truncata","NT"
11,"Mya truncata","NT"
8,"Myosotella myosotis","DD"
10,"Myosotella myosotis","DD"
7,"Nucula nucleus","VU"
3,"Nucula nucleus","VU"
1,"Nucula nucleus","VU"
2,"Nucula nucleus","VU"
8,"Nucula nucleus","VU"
5,"Nucula nucleus","VU"
6,"Nucula nucleus","VU"
9,"Nucula nucleus","VU"
10,"Nucula nucleus","VU"
1,"Orchestia gammarellus","DD"
26,"Orchestia gammarellus","DD"
2,"Orchestia gammarellus","DD"
13,"Orchestia gammarellus","DD"
10,"Orchestia gammarellus","DD"
13,"Palaemonetes varians","DD"
16,"Palaemonetes varians","DD"
12,"Palaemonetes varians","DD"
11,"Palaemonetes varians","DD"
18,"Palaemonetes varians","DD"
10,"Palaemonetes varians","DD"
3,"Parvicardium hauniense","VU"
9,"Parvicardium hauniense","VU"
12,"Parvicardium hauniense","VU"
11,"Parvicardium hauniense","VU"
13,"Parvicardium hauniense","VU"
16,"Parvicardium hauniense","VU"
