"rgn_id","year","percent"
1,1980,2.2
1,1981,2.8
1,1982,3.5
1,1983,3.9
1,1984,3.5
1,1985,3.1
1,1986,2.8
1,1987,2.3
1,1988,1.9
1,1989,1.6
1,1990,1.8
1,1991,3.2
1,1992,5.7
1,1993,9.3
1,1994,9.6
1,1995,9.1
1,1996,9.9
1,1997,10
1,1998,8.3
1,1999,7.1
1,2000,5.8
1,2001,5
1,2002,5.2
1,2003,5.8
1,2004,6.5
1,2005,7.7
1,2006,7
1,2007,6.1
1,2008,6.2
1,2009,8.3
1,2010,8.6
1,2011,7.8
1,2012,8
2,1980,2.72755
2,1981,3.16867
2,1982,3.81439
2,1983,9.7
2,1984,8.9
2,1985,7.8
2,1986,6
2,1987,6.1
2,1988,6.5
2,1989,8.1
2,1990,8.3
2,1991,9.1
2,1992,9
2,1993,10.7
2,1994,8
2,1995,7
2,1996,6.8
2,1997,5.4
2,1998,5
2,1999,5.1
2,2000,4.5
2,2001,4.2
2,2002,4.6
2,2003,5.4
2,2004,5.5
2,2005,4.8
2,2006,3.9
2,2007,3.8
2,2008,3.4
2,2009,6
2,2010,7.5
2,2011,7.6
2,2012,7.5
3,1980,2.72755
3,1981,3.16867
3,1982,3.81439
3,1983,9.7
3,1984,8.9
3,1985,7.8
3,1986,6
3,1987,6.1
3,1988,6.5
3,1989,8.1
3,1990,8.3
3,1991,9.1
3,1992,9
3,1993,10.7
3,1994,8
3,1995,7
3,1996,6.8
3,1997,5.4
3,1998,5
3,1999,5.1
3,2000,4.5
3,2001,4.2
3,2002,4.6
3,2003,5.4
3,2004,5.5
3,2005,4.8
3,2006,3.9
3,2007,3.8
3,2008,3.4
3,2009,6
3,2010,7.5
3,2011,7.6
3,2012,7.5
4,1980,6.4
4,1981,7.50167
4,1982,8.1
4,1983,9.06884
4,1984,9.84802
4,1985,10.4549
4,1986,10.3595
4,1987,10.6281
4,1988,10.0448
4,1989,9.28404
4,1990,8.83361
4,1991,5.6
4,1992,6.6
4,1993,7.9
4,1994,8.4
4,1995,8.1
4,1996,8.9
4,1997,9.8
4,1998,9.2
4,1999,8.4
4,2000,7.7
4,2001,7.8
4,2002,8.6
4,2003,9.3
4,2004,10.3
4,2005,11.1
4,2006,10.3
4,2007,8.6
4,2008,7.5
4,2009,7.7
4,2010,7.1
4,2011,5.9
4,2012,5.4
5,1980,2.2
5,1981,2.8
5,1982,3.5
5,1983,3.9
5,1984,3.5
5,1985,3.1
5,1986,2.8
5,1987,2.3
5,1988,1.9
5,1989,1.6
5,1990,1.8
5,1991,3.2
5,1992,5.7
5,1993,9.3
5,1994,9.6
5,1995,9.1
5,1996,9.9
5,1997,10
5,1998,8.3
5,1999,7.1
5,2000,5.8
5,2001,5
5,2002,5.2
5,2003,5.8
5,2004,6.5
5,2005,7.7
5,2006,7
5,2007,6.1
5,2008,6.2
5,2009,8.3
5,2010,8.6
5,2011,7.8
5,2012,8
6,1980,2.72755
6,1981,3.16867
6,1982,3.81439
6,1983,9.7
6,1984,8.9
6,1985,7.8
6,1986,6
6,1987,6.1
6,1988,6.5
6,1989,8.1
6,1990,8.3
6,1991,9.1
6,1992,9
6,1993,10.7
6,1994,8
6,1995,7
6,1996,6.8
6,1997,5.4
6,1998,5
6,1999,5.1
6,2000,4.5
6,2001,4.2
6,2002,4.6
6,2003,5.4
6,2004,5.5
6,2005,4.8
6,2006,3.9
6,2007,3.8
6,2008,3.4
6,2009,6
6,2010,7.5
6,2011,7.6
6,2012,7.5
7,1980,2.72755
7,1981,3.16867
7,1982,3.81439
7,1983,9.7
7,1984,8.9
7,1985,7.8
7,1986,6
7,1987,6.1
7,1988,6.5
7,1989,8.1
7,1990,8.3
7,1991,9.1
7,1992,9
7,1993,10.7
7,1994,8
7,1995,7
7,1996,6.8
7,1997,5.4
7,1998,5
7,1999,5.1
7,2000,4.5
7,2001,4.2
7,2002,4.6
7,2003,5.4
7,2004,5.5
7,2005,4.8
7,2006,3.9
7,2007,3.8
7,2008,3.4
7,2009,6
7,2010,7.5
7,2011,7.6
7,2012,7.5
8,1980,6.4
8,1981,7.50167
8,1982,8.1
8,1983,9.06884
8,1984,9.84802
8,1985,10.4549
8,1986,10.3595
8,1987,10.6281
8,1988,10.0448
8,1989,9.28404
8,1990,8.83361
8,1991,5.6
8,1992,6.6
8,1993,7.9
8,1994,8.4
8,1995,8.1
8,1996,8.9
8,1997,9.8
8,1998,9.2
8,1999,8.4
8,2000,7.7
8,2001,7.8
8,2002,8.6
8,2003,9.3
8,2004,10.3
8,2005,11.1
8,2006,10.3
8,2007,8.6
8,2008,7.5
8,2009,7.7
8,2010,7.1
8,2011,5.9
8,2012,5.4
9,1980,2.72755
9,1981,3.16867
9,1982,3.81439
9,1983,9.7
9,1984,8.9
9,1985,7.8
9,1986,6
9,1987,6.1
9,1988,6.5
9,1989,8.1
9,1990,8.3
9,1991,9.1
9,1992,9
9,1993,10.7
9,1994,8
9,1995,7
9,1996,6.8
9,1997,5.4
9,1998,5
9,1999,5.1
9,2000,4.5
9,2001,4.2
9,2002,4.6
9,2003,5.4
9,2004,5.5
9,2005,4.8
9,2006,3.9
9,2007,3.8
9,2008,3.4
9,2009,6
9,2010,7.5
9,2011,7.6
9,2012,7.5
10,1980,6.4
10,1981,7.50167
10,1982,8.1
10,1983,9.06884
10,1984,9.84802
10,1985,10.4549
10,1986,10.3595
10,1987,10.6281
10,1988,10.0448
10,1989,9.28404
10,1990,8.83361
10,1991,5.6
10,1992,6.6
10,1993,7.9
10,1994,8.4
10,1995,8.1
10,1996,8.9
10,1997,9.8
10,1998,9.2
10,1999,8.4
10,2000,7.7
10,2001,7.8
10,2002,8.6
10,2003,9.3
10,2004,10.3
10,2005,11.1
10,2006,10.3
10,2007,8.6
10,2008,7.5
10,2009,7.7
10,2010,7.1
10,2011,5.9
10,2012,5.4
11,1980,2.2
11,1981,2.8
11,1982,3.5
11,1983,3.9
11,1984,3.5
11,1985,3.1
11,1986,2.8
11,1987,2.3
11,1988,1.9
11,1989,1.6
11,1990,1.8
11,1991,3.2
11,1992,5.7
11,1993,9.3
11,1994,9.6
11,1995,9.1
11,1996,9.9
11,1997,10
11,1998,8.3
11,1999,7.1
11,2000,5.8
11,2001,5
11,2002,5.2
11,2003,5.8
11,2004,6.5
11,2005,7.7
11,2006,7
11,2007,6.1
11,2008,6.2
11,2009,8.3
11,2010,8.6
11,2011,7.8
11,2012,8
12,1980,2.72755
12,1981,3.16867
12,1982,3.81439
12,1983,9.7
12,1984,8.9
12,1985,7.8
12,1986,6
12,1987,6.1
12,1988,6.5
12,1989,8.1
12,1990,8.3
12,1991,9.1
12,1992,9
12,1993,10.7
12,1994,8
12,1995,7
12,1996,6.8
12,1997,5.4
12,1998,5
12,1999,5.1
12,2000,4.5
12,2001,4.2
12,2002,4.6
12,2003,5.4
12,2004,5.5
12,2005,4.8
12,2006,3.9
12,2007,3.8
12,2008,3.4
12,2009,6
12,2010,7.5
12,2011,7.6
12,2012,7.5
13,1980,6.4
13,1981,7.50167
13,1982,8.1
13,1983,9.06884
13,1984,9.84802
13,1985,10.4549
13,1986,10.3595
13,1987,10.6281
13,1988,10.0448
13,1989,9.28404
13,1990,8.83361
13,1991,5.6
13,1992,6.6
13,1993,7.9
13,1994,8.4
13,1995,8.1
13,1996,8.9
13,1997,9.8
13,1998,9.2
13,1999,8.4
13,2000,7.7
13,2001,7.8
13,2002,8.6
13,2003,9.3
13,2004,10.3
13,2005,11.1
13,2006,10.3
13,2007,8.6
13,2008,7.5
13,2009,7.7
13,2010,7.1
13,2011,5.9
13,2012,5.4
14,1980,2.2
14,1981,2.8
14,1982,3.5
14,1983,3.9
14,1984,3.5
14,1985,3.1
