"Year","TEMP_O_5_JulAug_CK","SALIN_O_5_CK","SALIN_125_CK"
1960,18.3612072580645,22.2534180327869,34.7756486338798
1961,15.6440411290323,23.5274590410959,34.5550926027397
1962,17.500725,21.6231724657534,34.4270597260274
1963,19.2030112903226,22.3158004109589,34.5011989041096
1964,18.1286766129032,22.6045334699454,34.4593267759563
1965,17.3090233870968,22.3096856164384,34.439844109589
1966,17.3327548387097,22.8238282191781,34.4590315068493
1967,18.1269830645161,22.6185783561644,34.6459416438356
1968,17.3401677419355,22.9711663934426,34.6818868852459
1969,16.1758927419355,23.2507443835616,34.5461306849315
1970,17.0648612903226,22.4641915068493,34.3927679452055
1971,16.3100379032258,23.2773042465753,34.7007117808219
1972,16.9669508064516,23.2228051912568,34.6802079234973
1973,17.7940290322581,22.3153683561644,34.5851046575342
1974,17.8317112903226,23.1956398630137,34.7687452054795
1975,17.1908411290323,22.5846221917808,34.6401438356164
1976,19.5980532258065,22.6782159836066,34.7560390710383
1977,16.3852669354839,23.2888963013699,34.444664109589
1978,18.5614298387097,22.121258630137,34.5746476712329
1979,16.1647193548387,23.6501867123288,34.4327123287671
1980,16.6855169354839,22.7193479508197,34.5279762295082
1981,17.0002048387097,23.3334206849315,34.5534635616438
1982,16.6104701612903,22.3297078082192,34.3542747945205
1983,18.1065637096774,22.1925891780822,34.5068720547945
1984,17.962685483871,23.4831096994536,34.681143715847
1985,18.3924548387097,22.5549364383562,34.7579243835616
1986,17.9335064516129,22.5897052054795,34.6989375342466
1987,18.4126379032258,23.1490257534247,34.4708553424658
1988,17.3479032258065,23.3598821038251,34.5242423497268
1989,18.5062153225806,22.5780409589041,34.6506931506849
1990,19.3881806451613,21.8961417808219,34.7670430136986
1991,17.1699838709677,23.1309894520548,34.81516
1992,16.233775,22.7512239071038,34.770393442623
1993,17.1281475806452,22.7398649315069,34.9376487671233
1994,17.9160540322581,22.3804487671233,34.5127531506849
1995,17.1687532258065,23.5310408219178,34.7078136986301
1996,17.6755943548387,23.1514389344262,34.7660918032787
1997,18.2031387096774,21.790967260274,34.5698380821918
1998,18.0173806451613,22.7065271232877,34.7933854794521
1999,18.7251879032258,22.8652947945205,34.507675890411
2000,17.1962217741935,21.865343989071,34.7167781420765
2001,18.1060024193548,22.9250754794521,34.5586167123288
2002,17.1041822580645,22.9209095890411,34.7317323287671
2003,18.3272201612903,21.7047031506849,34.8360408219178
2004,17.4807790322581,21.9477107923497,34.5890912568306
2005,16.9560120967742,21.3423615068493,34.7746520547945
2006,17.4075161290323,22.0646398630137,34.7615915068493
2007,18.7260048387097,21.8582953424658,34.6408501369863
2008,16.6789637096774,22.9618653005464,34.5272565573771
2009,16.9025427419355,22.8232024657534,34.6281131506849
2010,18.8873483870968,22.6255397260274,34.5837638356164
2011,19.8063258064516,22.3593264383562,34.7391095890411
2012,17.8897725806452,22.1195157103825,34.720743442623
2013,16.7119112903226,22.1914542465753,34.6381391780822
2014,20.0517379032258,21.541072739726,34.7601673972603
2015,17.844514516129,22.4433554794521,34.6434254794521
2016,18.0379830645161,22.5309976775956,34.7216325136612
2017,18.8760798387097,22.2232416438356,34.7749435616438
2018,19.0992064516129,21.6880242465753,34.7289057534247
2019,17.7723983870968,22.9968121917808,34.6494383561644
2020,18.83385,21.9526887978142,34.6085743169399
2021,19.189,22.1068439726027,34.7015991780822
2022,17.3555483870968,21.8145226027397,34.5049416438356
2023,17.3120822580645,21.9653828767123,34.7823915068493
2024,18.5833717741935,21.7934788251366,34.6714278688525
2025,19.5777024193548,21.2541921917808,34.6971947945205
2026,18.781739516129,22.1136632876712,34.7148273972603
2027,17.760135483871,22.909877260274,34.8045408219178
2028,18.5035653225806,22.6279046448087,34.5812571038251
2029,20.4766282258065,21.9634860273973,34.628422739726
2030,18.8566387096774,21.979145890411,34.9139054794521
2031,18.5971508064516,21.5457093150685,34.7537695890411
2032,18.5249725806452,21.8143949453552,34.6822975409836
2033,17.6611008064516,22.4743475342466,34.5227783561644
2034,18.4215814516129,22.2916391780822,34.6056643835616
2035,16.9934161290323,21.1572373972603,34.6785580821918
2036,19.2374677419355,21.4144512295082,34.6303464480874
2037,17.117110483871,22.0326815068493,34.7501504109589
2038,20.3462379032258,21.1871950684931,34.6891769863014
2039,19.4027274193548,23.3040090410959,34.7856569863014
2040,17.3089717741935,21.6154274590164,34.6558521857923
2041,20.0582491935484,21.5591005479452,34.6301624657534
2042,19.1905701612903,21.0345532876712,34.7837383561644
2043,18.4744903225806,21.8957134246575,34.7833416438356
2044,18.4147983870968,21.2059918032787,34.7321942622951
2045,19.4697508064516,21.0586523287671,34.6999361643836
2046,18.4817169354839,21.2733947945205,34.7572389041096
2047,18.9488048387097,20.6539439726027,34.6993638356164
2048,18.9480572580645,20.8918808743169,34.8851120218579
2049,18.8723282258065,20.5914268493151,34.7770621917808
2050,19.1532451612903,21.4522508219178,34.8651567123288
2051,17.1894975806452,21.6899173972603,34.9124906849315
2052,19.4856088709677,22.0400766393443,34.8455647540984
2053,18.8216709677419,21.1832554794521,34.8096978082192
2054,19.7803967741935,20.4976220547945,34.8122679452055
2055,18.6065806451613,21.5031910958904,34.78746
2056,19.0615451612903,21.8055852459016,34.6854008196721
2057,18.7927741935484,21.2217326027397,34.7988057534247
2058,21.6193088709677,20.61019,34.7644879452055
2059,19.0467072580645,21.1308369863014,34.7263810958904
2060,19.585960483871,21.808806420765,34.8371398907104
2061,19.5283080645161,20.5760930136986,34.8052778082192
2062,19.9023362903226,20.5399190410959,34.8214961643836
2063,20.8487548387097,20.478912739726,34.7501665753425
2064,18.9403911290323,21.4311517759563,34.7720803278688
2065,17.7150927419355,20.5690291780822,34.7066684931507
2066,19.1790790322581,21.0691667123288,34.7811830136986
2067,18.65455,21.2638317808219,34.5740769863014
2068,19.2523774193548,20.1111520491803,34.7468825136612
2069,18.9228580645161,20.8907195890411,34.8607517808219
2070,19.6413717741935,20.7597515068493,34.6220106849315
2071,20.3052508064516,20.3358924657534,34.7489753424658
2072,19.5311532258065,21.1370353825137,34.7736142076503
2073,20.5903314516129,21.2895417808219,34.6093652054794
2074,19.1638903225806,20.6288242465753,34.6848339726027
2075,18.3150975806452,21.3495846575342,34.7393630136986
2076,18.8051274193548,21.0514483606557,34.6964467213115
2077,20.9439169354839,20.9052432876712,34.8584915068493
2078,19.5585209677419,21.2073290410959,34.7972153424658
2079,18.4144967741935,21.1553847945205,34.7821049315069
2080,19.2936532258065,20.6057307377049,34.7828991803279
2081,19.4938120967742,19.8320508219178,34.5877328767123
2082,19.7584,20.8960879452055,34.7625975342466
